0H 0L 1H 1L 2H 2L 3H 3L 4H 4L
0.817000 1.115669 1.094088 1.203537 1.297829 0.907091 1.106312 1.163597 0.872010 1.315371

1.053340 0.832535 1.080845 1.111231 0.740598 1.120106 1.103256 1.196437 1.085938 0.801471

1.156229 0.938156 1.188827 0.844961 1.117518 1.008273 1.164378 0.852062 1.114462 0.936381

0.778290 1.128982 0.783383 0.889340 1.054358 0.904428 0.835337 0.821885 0.778290 1.102355

0.914796 1.199987 1.153173 1.035788 0.985087 1.176023 1.074732 1.051764 0.946376 1.199987

1.142986 1.021587 1.196977 1.062415 0.967769 0.911529 1.244856 1.087266 1.152154 1.017149

0.999348 0.991410 0.933133 1.115669 1.052321 1.130757 0.944338 1.083716 0.932114 1.006498

0.918871 0.923955 1.055377 0.935493 0.877104 0.873363 1.025835 1.001173 0.979993 0.876026

0.917852 0.978984 1.242819 1.297619 0.861823 1.017149 1.241800 1.201762 0.844505 1.021587

1.111406 0.986972 0.564362 0.678099 1.158266 0.899990 0.646877 0.831648 1.152154 0.992297

0.952488 0.950582 1.116499 0.993185 0.967769 1.131645 1.027872 0.858275 0.917852 0.946144

1.033984 1.098805 1.197996 0.823660 0.949432 0.895553 1.187809 0.869813 1.084920 1.108568

1.117518 1.255904 0.961656 1.183123 1.114462 0.845849 1.018704 1.148508 1.073714 1.219514

0.977956 0.999398 0.756897 0.908866 0.868954 0.949694 0.780327 0.981646 1.033984 0.932830

0.936189 0.906203 1.054358 0.988747 0.994255 1.138745 0.983049 0.915967 0.846543 0.967445

0.903590 0.743779 0.907665 0.945256 1.213276 0.976321 0.958600 0.952357 0.965731 0.787270

1.003423 1.148508 0.951469 1.113006 0.958600 0.929280 0.931095 1.109456 0.974899 1.194662

1.211239 1.102355 0.961656 1.231052 1.023797 0.939931 0.947394 1.247916 1.262174 0.986972

0.831262 1.093479 1.063527 1.078391 0.930077 0.931055 1.056396 1.120994 0.744672 1.168922

0.886272 0.861825 1.107331 1.041113 0.796626 0.868926 1.116499 0.965670 1.004442 0.847624

1.104275 1.074841 0.964712 0.672774 0.995274 1.152946 0.973881 0.741116 1.080845 1.102355

